client_trade_id,instrument_name,trade_side,entry_price,entry_time,exit_price,exit_time,mae,mfe,result_ticks,trade_duration,take_profit_price,stop_loss_price,signal,account_name,daily_pnl,quantity,strategy_name
a6c7125b-85e9-45a7-a4f1-d14b357b1be1,XAUUSD,Long,3348.9,2025-04-24 20:50:01.578454+00,3346.86,2025-04-24 20:52:15.78073+00,20399.9999999996,0,0,2m 14s,3348.9065,3348.898,,Sim101,-4.23,1,ALERTSYSTEMFXHA1
e875b0b3-7991-4032-abaf-9162fa71b1dd,XAUUSD,Long,3307.39,2025-04-25 07:50:40.142484+00,3307.09,2025-04-25 07:50:46.510495+00,5.69999999999709,4.80000000000018,-2,0m 6s,0,0,,Simforex,-0.299999999999727,1,Manual
f39fdec2-2f37-460d-88d7-9d448f444c7f,XAUUSD,Long,3298.46,2025-04-25 10:13:24.455731+00,3299.38,2025-04-25 10:18:06.104476+00,29.2999999999984,19.2000000000007,9,4m 41s,0,0,,Simforex,1.61000000000013,1,Manual
1154aa78-f870-4554-b6b8-7d343ef2a489,XAUUSD,Long,3346.38,2025-04-24 20:35:01.542768+00,3344.65,2025-04-24 20:36:14.076923+00,22.0000000000027,0,-17,1m 12s,3352.88,3344.38,,Sim101,-3.63000000000011,1,Manual
b2194076-b113-414d-a15e-53b3454b06fe,XAUUSD,Long,3278.225,2025-04-23 13:56:46.81399+00,3267.3,2025-04-23 14:00:24.469335+00,115.149999999999,23.1500000000005,-109,3m 37s,3335.83,3269.04,,Sim101,-550.099999999975,2,Manual
5e03a3de-3e4c-4ebf-8692-5e7ea8e89f7f,XAUUSD,Short,3290.18,2025-04-23 13:44:33.290152+00,3291.89,2025-04-23 13:46:02.098833+00,45.1999999999953,53.8000000000011,-17,1m 28s,0,0,,Sim101,-34.1999999999916,2,Manual
61f4d2ba-6b40-438f-bdce-2024a7489f52,XAUUSD,Short,3328.02,2025-04-24 07:35:01.289776+00,3327.65,2025-04-24 07:35:24.289845+00,0.599999999999454,13.0000000000018,3,0m 23s,0,0,,Sim101,7.39999999999782,2,Manual
7f9634de-8f68-4067-bf59-233a499b26d5,XAUUSD,Long,3298.32,2025-04-23 16:44:19.003664+00,3298.08,2025-04-23 16:44:56.297071+00,12.6999999999953,3.30000000000382,-2,0m 37s,0,0,,Sim101,-460.400000000036,2,Manual
63e9a61d-dcd1-4591-ad7b-d040c25e2984,XAUUSD,Long,3339.93,2025-04-24 08:49:54.178047+00,3338.82,2025-04-24 08:51:03.308279+00,24.699999999998,17.0000000000027,-11,1m 9s,3439.93,3314.93,,Sim101,-4.52999999999975,1,Manual
79bba4ef-6df4-4c98-aa17-8f8237607b94,XAUUSD,Long,3346.38,2025-04-24 20:35:01.333772+00,3344.21,2025-04-24 20:36:11.744915+00,21700.0000000007,0,0,1m 10s,3346.3865,3346.378,,Sim101,-2.19,1,ALERTSYSTEMFXHA1
27d92140-89c2-47f5-a060-cd00ee366a77,XAUUSD,Long,3337.55,2025-04-24 17:56:11.987432+00,3335.55,2025-04-24 17:58:18.27187+00,20000,0,-20,2m 6s,3337.5565,3337.548,,Sim101,-200000.00,100000,ALERTSYSTEMFXHA1
80160b95-b043-4d92-a2a4-3bc013a55b4c,XAUUSD,Long,3338.78,2025-04-24 08:47:08.82364+00,3337.94,2025-04-24 08:47:18.711678+00,18.7000000000035,5.69999999999709,-8,0m 9s,3438.78,3313.78,,Sim101,-1.30000000000018,2,Manual
f224f1ce-4ce5-4e90-8178-61b87dcc5b65,XAUUSD,Long,3298.56,2025-04-25 11:28:17.002461+00,3298.48,2025-04-25 11:28:21.829467+00,14.4000000000005,5.59999999999945,0,0m 4s,3398.56,3273.56,,Simforex,-4.25,1,Manual
40d684f0-dabd-4cf0-aed1-ca18b871e211,XAUUSD,Short,3274.59,2025-04-23 13:51:46.827343+00,3277.44,2025-04-23 13:56:36.092966+00,81.7999999999984,24.8000000000002,-28,4m 49s,2874.59,3474.59,,Sim101,-342.299999999987,10,Manual
96c0dde3-07d3-4544-a55f-0c938cdb27ad,XAUUSD,Long,3338.35,2025-04-24 08:46:43.946463+00,3338.73,2025-04-24 08:46:53.398043+00,19.2000000000007,5.19999999999982,3,0m 9s,0,0,,Sim101,0.380000000000109,100000,Manual
416b336b-8634-4f59-85e0-ec66046902d6,XAUUSD,Short,3331.01,2025-04-24 07:29:26.438104+00,3328.87,2025-04-24 07:32:23.758463+00,2.5,25.300000000002,21,2m 57s,3231.01,3356.01,,Sim101,42.5,1,Manual
47043f77-3962-4e49-96d0-9de123585a20,XAUUSD,Long,3297.27,2025-04-25 11:23:37.628015+00,3296.68,2025-04-25 11:23:44.201027+00,16.9000000000005,0,-5,0m 6s,0,0,,Simforex,-4.79999999999973,1,Manual
e35ebd0e-4ef4-4034-8f46-827d5f24e0f2,XAUUSD,Short,3288.85,2025-04-25 13:03:20.467878+00,3283.45,2025-04-25 13:04:41.99913+00,0,123.499999999999,54,1m 21s,3188.85,3283.79,,Simforex,5.40000000000009,1,Manual
be113a64-efb8-4df8-b462-a28d511b609e,XAUUSD,Long,3339.56,2025-04-24 08:49:05.961337+00,3339.1,2025-04-24 08:49:09.149341+00,20.9999999999991,0,-4,0m 3s,3439.56,3314.56,,Sim101,-3.60000000000036,1,Manual
b094cf8f-33ef-4054-9986-ac44e3d75214,XAUUSD,Long,3339.93,2025-04-24 08:49:54.181045+00,3338.82,2025-04-24 08:51:03.310141+00,24.699999999998,17.0000000000027,-11,1m 9s,3439.93,3314.93,,Sim101,-4.63000000000011,1,Manual
5cae81e2-52ac-4aeb-8f18-88f55455166c,XAUUSD,Long,3335.32,2025-04-24 10:10:10.153885+00,3334.65,2025-04-24 10:10:23.633445+00,10.9000000000015,0,-6,0m 13s,0,0,,Sim101,-6.57000000000016,200000,Manual
6685087f-eb0b-4335-bb0e-7445d670684e,XAUUSD,Long,3338.78,2025-04-24 08:47:08.82364+00,3337.89,2025-04-24 08:47:18.485676+00,23.5000000000036,5.69999999999709,-8,0m 9s,3438.78,3313.78,,Sim101,-1.40000000000055,2,Manual
ebff21d9-f514-4f5a-99c0-e23843240013,XAUUSD,Short,3300.9,2025-04-25 10:57:56.815133+00,3298.6,2025-04-25 11:08:02.161652+00,1.79999999999836,38.8999999999987,23,10m 5s,3200.9,3325.9,,Simforex,1.89000000000033,1,Manual
9fca34a3-4349-48be-88a8-495b84ae63f7,XAUUSD,Long,3344.84,2025-04-24 19:50:02.790113+00,3344.94,2025-04-24 19:50:08.514126+00,10.1999999999998,3.19999999999709,0,0m 5s,3351.34,3344.84,,Sim101,-1.90000000000009,1,Manual
738bb0d8-3987-414e-aa0a-9ac57dacba11,XAUUSD,Long,3296.66,2025-04-25 11:22:52.091905+00,3296.51,2025-04-25 11:23:10.969156+00,10.7999999999993,1.50000000000091,-1,0m 18s,3396.66,3271.66,,Simforex,-3.99999999999955,1,Manual
0a1ad49c-39f0-4236-b9c3-d7debad555ec,XAUUSD,Long,3297.15,2025-04-25 11:22:21.283321+00,3296.39,2025-04-25 11:22:28.968311+00,15.7000000000016,0,-7,0m 7s,3397.15,3272.15,,Simforex,-3.32999999999993,1,Manual
b947d38c-2cae-4e6c-92e1-980b03fa6d69,XAUUSD,Short,3299.42,2025-04-25 09:40:01.405705+00,3298.44,2025-04-25 09:40:14.58242+00,1.39999999999873,9.70000000000255,9,0m 13s,0,0,,Simforex,0.980000000000018,1,Manual
d2bcc6cb-bffc-4167-beed-525f8b20eb8e,XAUUSD,Long,3297.78,2025-04-25 11:28:00.41542+00,3298.41,2025-04-25 11:28:08.994439+00,6.60000000000309,6.899999999996,6,0m 8s,0,0,,Simforex,-4.17000000000007,1,Manual
47f77db2-83f3-45ae-a7ae-2b40bae42bbe,XAUUSD,Long,3339.51,2025-04-24 08:49:15.378422+00,3339.59,2025-04-24 08:49:28.676403+00,20.5000000000018,0.499999999997272,0,0m 13s,3439.51,3314.51,,Sim101,-3.42000000000007,1,Manual
